s_no,hospital_name,district_name,hosp_type,tier,hosp_level,level_source,dump_hosp_level,latitude,longitude,tpl_total,tpl_source,tpl_rows_in_dump,dump_hospid,coord_status,coord_note
912,RADHAKISHAN HOSPITAL,KURUKSHETRA,Empanelled Private Hospital,Tertiary,L1,private_all_l1,,29.974220,76.842570,57.95,estimated,0,,ok,
913,SIMSS HOSPITAL KURUKSHETRA,KURUKSHETRA,Empanelled Private Hospital,Tertiary,L1,private_all_l1,,29.694540,76.997260,24.90,estimated,0,,ok,
914,SIDHARTH HOSPITAL,KURUKSHETRA,Empanelled Private Hospital,Tertiary,L1,private_all_l1,,28.607910,76.657180,54.12,estimated,0,,ok,
915,CYGNUS SUPER SPECIALTY HOSPITAL KURUKSHETRA,KURUKSHETRA,Empanelled Private Hospital,Tertiary,L1,private_all_l1,,30.158280,76.874820,43.31,estimated,0,,ok,
916,ADESH MEDICAL COLLEGE AND HOSPITAL,KURUKSHETRA,Empanelled Private Hospital,Tertiary,L1,private_all_l1,,29.971680,76.836900,19.69,estimated,0,,ok,
917,AGARWAL NURSING HOME,KURUKSHETRA,Empanelled Private Hospital,Tertiary,L1,private_all_l1,,28.198260,76.624400,56.62,estimated,0,,ok,
918,S MEHTA SURGICAL AND MATERNITY,KURUKSHETRA,Empanelled Private Hospital,Tertiary,L1,private_all_l1,,29.966260,76.841310,48.09,estimated,0,,ok,
919,SARASWATI MISSION HOSPITAL,KURUKSHETRA,Empanelled Private Hospital,Tertiary,L1,private_all_l1,,29.969510,76.878280,31.16,estimated,0,,ok,
920,SARASWATI MISSION HOSPITAL,KURUKSHETRA,Empanelled Private Hospital,Tertiary,L1,private_all_l1,,29.988529,76.588343,30.43,estimated,0,,ok,
921,BS HEART CARE AND MULTISPECIALITY HOSPITAL,KURUKSHETRA,Empanelled Private Hospital,Tertiary,L1,private_all_l1,L2,29.966741,76.830105,54.55,real,1,377,ok,
922,SOBTI NURSING HOME,KURUKSHETRA,Empanelled Private Hospital,Tertiary,L1,private_all_l1,,29.974530,76.861180,40.76,estimated,0,,ok,
923,SAINI  EYE  CARE  CENTRE,KURUKSHETRA,Empanelled Private Hospital,Tertiary,L1,private_all_l1,,29.686930,76.990480,30.28,estimated,0,,ok,
924,SHRI BALAJI AAROGYAM HOSPITAL,KURUKSHETRA,Empanelled Private Hospital,Tertiary,L1,private_all_l1,,29.974450,76.876650,37.83,estimated,0,,ok,
925,KURUKSHETRA NURSING HOME,KURUKSHETRA,Empanelled Private Hospital,Tertiary,L1,private_all_l1,,30.152306,77.308324,23.25,estimated,0,,ok,
926,BHASKAR HOSPITAL,KURUKSHETRA,Empanelled Private Hospital,Tertiary,L1,private_all_l1,,28.928774,77.091278,55.04,estimated,0,,ok,
927,LIFE CARE HOSPITAL,KURUKSHETRA,Empanelled Private Hospital,Tertiary,L1,private_all_l1,,30.378118,76.776695,29.97,estimated,0,,ok,
928,P D MEMORIAL CHAUHAN EYE AND MATERNITY HOSPITAL,KURUKSHETRA,Empanelled Private Hospital,Tertiary,L1,private_all_l1,,29.685630,76.990550,48.02,estimated,0,,ok,
929,VIRK HOSPITAL,KURUKSHETRA,Empanelled Private Hospital,Tertiary,L1,private_all_l1,,28.040007,76.109993,33.81,estimated,0,,ok,
930,VARDHA HEALTHCARE MULTISPECIALITY NURSING HOME,KURUKSHETRA,Empanelled Private Hospital,Tertiary,L1,private_all_l1,,29.969957,76.837543,55.11,estimated,0,,ok,
931,DR VEENA CHOWDHARY FOUNDATION EYE HOSPITAL,KURUKSHETRA,Empanelled Private Hospital,Tertiary,L1,private_all_l1,,28.183332,76.616669,55.44,estimated,0,,ok,
932,NEW APNA HOSPITAL  HOUSE NUMBER 163& RED ROAD KKR,KURUKSHETRA,Empanelled Private Hospital,Tertiary,L1,private_all_l1,,29.695880,76.992050,42.20,estimated,0,,ok,
933,MIRI PIRI INSTITUTE OF MEDICAL SCIENCES AND RESEARCH,KURUKSHETRA,Empanelled Private Hospital,Tertiary,L1,private_all_l1,L1,28.786862,76.130802,37.20,real,2,382,ok,
934,SONI ORTHOPEDIC HOSPITAL,KURUKSHETRA,Empanelled Private Hospital,Tertiary,L1,private_all_l1,,28.798734,76.143683,40.10,estimated,0,,ok,
935,APNA HOSPITAL,KURUKSHETRA,Empanelled Private Hospital,Tertiary,L1,private_all_l1,,29.133130,75.746110,42.45,estimated,0,,ok,
936,MAHARAJA AGRASEN HOSPITAL,KURUKSHETRA,Empanelled Private Hospital,Tertiary,L1,private_all_l1,,28.061460,76.107160,38.71,estimated,0,,ok,
937,BALAJI HOSPITAL &TRAUMA CENTRE,KURUKSHETRA,Empanelled Private Hospital,Tertiary,L1,private_all_l1,,29.804150,76.406360,31.81,estimated,0,,ok,
938,SHRI GURU NANAK DEV CHARITABLE EYE & DENTAL HOSPITAL,KURUKSHETRA,Empanelled Private Hospital,Tertiary,L1,private_all_l1,,30.371472,76.787912,51.65,estimated,0,,ok,
939,SPARSH SURGICAL LAPAROSCOPIC & MATERNITY HOSPITAL,KURUKSHETRA,Empanelled Private Hospital,Tertiary,L1,private_all_l1,,28.825215,76.316391,12.13,estimated,0,,ok,
940,HAYER HOSPITAL,KURUKSHETRA,Empanelled Private Hospital,Tertiary,L1,private_all_l1,L2,28.797500,76.132200,40.66,estimated,0,1011,ok,
941,KAMBOJ HOSPITAL,KURUKSHETRA,Empanelled Private Hospital,Tertiary,L1,private_all_l1,,30.155500,76.877400,64.27,estimated,0,,ok,
942,POOJA HOSPITAL,MAHENDRAGARH,Empanelled Private Hospital,Tertiary,L1,private_all_l1,,29.388880,76.991410,44.01,estimated,0,,ok,
943,SHRI ARVIND HEART AND MULTISPECIALITY HOSPITAL,MAHENDRAGARH,Empanelled Private Hospital,Tertiary,L1,private_all_l1,,29.389463,76.969130,25.84,estimated,0,,ok,
944,G K SUPER SPECIALITY HOSPITAL,MAHENDRAGARH,Empanelled Private Hospital,Tertiary,L1,private_all_l1,,28.125240,76.101750,30.14,estimated,0,,ok,
945,VIJAY HOSPITAL,MAHENDRAGARH,Empanelled Private Hospital,Tertiary,L1,private_all_l1,,30.247910,76.854000,19.41,estimated,0,,ok,
946,KRISHNA EYE HOSPITAL,MAHENDRAGARH,Empanelled Private Hospital,Tertiary,L1,private_all_l1,,29.695400,76.989130,32.04,estimated,0,,ok,
947,KRISHNA EYE HOSPITAL,MAHENDRAGARH,Empanelled Private Hospital,Tertiary,L1,private_all_l1,,28.384760,77.302160,38.26,estimated,0,,ok,
948,SAMVEDNA HOSPITAL,MAHENDRAGARH,Empanelled Private Hospital,Tertiary,L1,private_all_l1,,28.057200,76.101130,62.54,estimated,0,,ok,
949,GANGA DEVI PANDEY EYE HOSPITAL,MAHENDRAGARH,Empanelled Private Hospital,Tertiary,L1,private_all_l1,,28.057220,76.105320,23.18,estimated,0,,ok,
950,IMRAN ENT HOSPITAL,MAHENDRAGARH,Empanelled Private Hospital,Tertiary,L1,private_all_l1,,29.973510,76.838210,31.72,estimated,0,,ok,
951,JAIPUR HEART & GENERAL HOSPITAL,MAHENDRAGARH,Empanelled Private Hospital,Tertiary,L1,private_all_l1,,28.183332,76.616669,41.09,estimated,0,,ok,
952,SAVITRI DEVI EYE HOSPITAL,MAHENDRAGARH,Empanelled Private Hospital,Tertiary,L1,private_all_l1,,28.045640,76.115018,39.15,estimated,0,,ok,
953,LAXMI NARAYAN HOSPITAL,MAHENDRAGARH,Empanelled Private Hospital,Tertiary,L1,private_all_l1,,28.897200,76.609690,39.73,estimated,0,,ok,
954,SHANTI HOSPITAL,MAHENDRAGARH,Empanelled Private Hospital,Tertiary,L1,private_all_l1,,29.130770,75.744130,46.75,estimated,0,,ok,
955,C B M HEALTH CARE,MAHENDRAGARH,Empanelled Private Hospital,Tertiary,L1,private_all_l1,,28.796725,76.145843,34.59,estimated,0,,ok,
956,OM HOSPITAL,MAHENDRAGARH,Empanelled Private Hospital,Tertiary,L1,private_all_l1,,29.137330,76.694410,38.49,estimated,0,,ok,
957,SINGHAL MEDICAL SURGICAL & MATERNITY CENTRE,MAHENDRAGARH,Empanelled Private Hospital,Tertiary,L1,private_all_l1,,28.396420,77.295200,30.33,estimated,0,,ok,
958,BANSAL EYE CARE HOSPITAL,MAHENDRAGARH,Empanelled Private Hospital,Tertiary,L1,private_all_l1,,29.058780,76.085600,46.01,estimated,0,,ok,
959,GOYAL NETRA CHIKITSHALAY,MAHENDRAGARH,Empanelled Private Hospital,Tertiary,L1,private_all_l1,,29.954520,74.696590,13.23,estimated,0,,ok,
960,YADAV ORTHO AND MULTISPECILITY HOSPITAL,MAHENDRAGARH,Empanelled Private Hospital,Tertiary,L1,private_all_l1,,28.275250,76.139370,33.54,estimated,0,,ok,
961,GETWELL HOSPITAL,MAHENDRAGARH,Empanelled Private Hospital,Tertiary,L1,private_all_l1,,30.144450,77.287040,36.57,estimated,0,,ok,
962,RAINBOW MULTISPECILALITY HOSPITAL & TRAUMA CENTRE,MAHENDRAGARH,Empanelled Private Hospital,Tertiary,L1,private_all_l1,,29.149200,75.721700,46.01,estimated,0,,ok,
963,DEVANSH HOSPITAL,MEWAT,Empanelled Private Hospital,Tertiary,L1,private_all_l1,,29.801674,76.410579,10.99,estimated,0,,ok,
964,FAMILY HOSPITAL AND SURGICAL CENTRE,MEWAT,Empanelled Private Hospital,Tertiary,L1,private_all_l1,,30.670840,76.860540,20.81,estimated,0,,ok,
965,SRI SATHYA SAI SANJEEVANI INTERNATIONAL CENTRE FOR CHILD HEART CARE AND RESEARCH,PALWAL,Empanelled Private Hospital,Tertiary,L1,private_all_l1,,28.053020,76.113500,20.57,estimated,0,,ok,
966,RAHUL NURSING HOME,PALWAL,Empanelled Private Hospital,Tertiary,L1,private_all_l1,,28.265255,76.149675,27.20,estimated,0,,ok,
967,PALWAL HOSPITAL,PALWAL,Empanelled Private Hospital,Tertiary,L1,private_all_l1,,28.144580,77.335550,45.07,estimated,0,,ok,
968,GURU NANAK HOSPITAL,PALWAL,Empanelled Private Hospital,Tertiary,L1,private_all_l1,,29.974710,76.880700,54.11,estimated,0,,ok,
969,COSMOS HOSPITAL,PALWAL,Empanelled Private Hospital,Tertiary,L1,private_all_l1,,28.154550,77.330380,31.93,estimated,0,,ok,
970,GOLDEN HOSPITAL,PALWAL,Empanelled Private Hospital,Tertiary,L1,private_all_l1,,28.599140,76.273380,44.37,estimated,0,,ok,
971,GOYAL NURSING HOME,PALWAL,Empanelled Private Hospital,Tertiary,L1,private_all_l1,,29.005550,77.035590,25.84,estimated,0,,ok,
972,SHRI SAI HOSPITAL,PALWAL,Empanelled Private Hospital,Tertiary,L1,private_all_l1,,28.192454,76.618815,54.25,estimated,0,,ok,
973,PRABHA EYE HOSPITAL,PALWAL,Empanelled Private Hospital,Tertiary,L1,private_all_l1,,28.176230,77.342040,39.41,estimated,0,,ok,
974,SACHIN HOSPITAL,PALWAL,Empanelled Private Hospital,Tertiary,L1,private_all_l1,,28.144480,77.335740,43.07,estimated,0,,ok,
975,MANOJ HOSPITAL & TRAUMA CENTRE,PALWAL,Empanelled Private Hospital,Tertiary,L1,private_all_l1,,29.151861,75.721123,20.49,estimated,0,,ok,
976,RAFFELS HOSPITAL,PANCHKULA,Empanelled Private Hospital,Tertiary,L1,private_all_l1,,28.981230,77.016770,2.56,estimated,0,,ok,
977,MALIK MEDICAL AND DIAGNOSTIC CENTRE,PANCHKULA,Empanelled Private Hospital,Tertiary,L1,private_all_l1,,28.052630,76.110090,32.41,estimated,0,,ok,
978,DR BAKSHI GUPTA EYE CARE CENTRE,PANCHKULA,Empanelled Private Hospital,Tertiary,L1,private_all_l1,,29.543762,75.028999,38.81,estimated,0,,ok,
979,INSTITUTE OF REPRODUCATION & CHILD CARES,PANCHKULA,Empanelled Private Hospital,Tertiary,L1,private_all_l1,,29.806100,76.405010,32.33,estimated,0,,ok,
980,RADHI DEVI AMRAVATI POLYCLINIC,PANCHKULA,Empanelled Private Hospital,Tertiary,L1,private_all_l1,,29.803640,76.415890,50.80,estimated,0,,ok,
981,NAVDEEP HOSPITAL,PANCHKULA,Empanelled Private Hospital,Tertiary,L1,private_all_l1,,29.390050,76.969490,38.85,estimated,0,,ok,
982,A ONE CREATIONS PVT LTD,PANCHKULA,Empanelled Private Hospital,Tertiary,L1,private_all_l1,,28.471970,77.020910,45.61,estimated,0,,ok,
983,DRISHTI EYE HOSPITAL,PANCHKULA,Empanelled Private Hospital,Tertiary,L1,private_all_l1,,28.987650,77.004180,48.98,estimated,0,,ok,
984,DHAWAN HOSPITAL,PANCHKULA,Empanelled Private Hospital,Tertiary,L1,private_all_l1,,30.380538,76.780458,34.24,estimated,0,,ok,
985,GUPTA EYE HOSPITAL,PANCHKULA,Empanelled Private Hospital,Tertiary,L1,private_all_l1,,28.411679,77.314667,49.71,estimated,0,,ok,
986,OJAS SUPER SPECIALITY HOSPITAL,PANCHKULA,Empanelled Private Hospital,Tertiary,L1,private_all_l1,,29.004770,77.069210,29.04,estimated,0,,ok,
987,NETRA EYE HOSPITAL,PANCHKULA,Empanelled Private Hospital,Tertiary,L1,private_all_l1,,29.167280,75.724560,6.41,estimated,0,,ok,
988,PANCHAL HOSPITAL,PANIPAT,Empanelled Private Hospital,Tertiary,L1,private_all_l1,L2,29.716312,75.905678,43.98,real,1,767,ok,
989,CITY HOSPITAL,PANIPAT,Empanelled Private Hospital,Tertiary,L1,private_all_l1,,29.716300,75.905700,36.59,estimated,0,,ok,
990,PANIPAT HEART HOSPITAL,PANIPAT,Empanelled Private Hospital,Tertiary,L1,private_all_l1,L2,28.504107,76.589549,43.60,real,1,525,ok,
991,VARDAAN STONE AND KIDNEY HOSPITAL,PANIPAT,Empanelled Private Hospital,Tertiary,L1,private_all_l1,L2,30.336340,76.844030,20.33,real,1,524,ok,
992,OSCAR SUPER SPECIALITY & TRAUMA CENTRE A UNIT OF OSCAR HEALTH SERVICES,PANIPAT,Empanelled Private Hospital,Tertiary,L1,private_all_l1,L2,29.718954,75.906815,53.10,real,2,523,ok,
993,HEART AND MOTHER CARE HOSPITAL,PANIPAT,Empanelled Private Hospital,Tertiary,L1,private_all_l1,L2,29.361000,75.897600,36.00,real,1,522,ok,
994,CHHABRA HOSPITAL,PANIPAT,Empanelled Private Hospital,Tertiary,L1,private_all_l1,,29.969500,76.878300,30.12,estimated,0,,ok,
995,G C GUPTA HOSPITAL PANIPAT,PANIPAT,Empanelled Private Hospital,Tertiary,L1,private_all_l1,,28.192688,77.312830,59.41,estimated,0,,ok,
996,LALA HARBHAGWAN DASS MEMORIAL DR PREM HOSPITAL,PANIPAT,Empanelled Private Hospital,Tertiary,L1,private_all_l1,L2,29.380680,76.977010,59.43,real,1,481,ok,
997,APEX HOSPITAL,PANIPAT,Empanelled Private Hospital,Tertiary,L1,private_all_l1,,28.913510,76.608040,32.97,estimated,0,,ok,
998,JATINDERA HOSPITAL PANIPAT,PANIPAT,Empanelled Private Hospital,Tertiary,L1,private_all_l1,L2,29.388870,76.990550,33.43,real,1,483,ok,
999,PAWANANJALI HOSPITAL,PANIPAT,Empanelled Private Hospital,Tertiary,L1,private_all_l1,,29.397190,76.970370,48.23,estimated,0,,ok,
1000,RAINBOW HOSPITAL,PANIPAT,Empanelled Private Hospital,Tertiary,L1,private_all_l1,L2,29.388870,76.990640,43.98,real,1,485,ok,
1001,IBM HOSPITAL AND TRAUMA CENTRE,PANIPAT,Empanelled Private Hospital,Tertiary,L1,private_all_l1,L2,29.170150,75.721190,32.64,estimated,0,486,ok,
1002,CYGNUS MAHARAJA AGGERSSAIN HOSPITAL,PANIPAT,Empanelled Private Hospital,Tertiary,L1,private_all_l1,L2,29.387280,76.976390,51.40,real,1,487,ok,
1003,GUPTA EYE HOSPITAL,PANIPAT,Empanelled Private Hospital,Tertiary,L1,private_all_l1,,29.399600,76.973510,26.27,estimated,0,488,ok,
1004,R M ANAND HOSPITAL,PANIPAT,Empanelled Private Hospital,Tertiary,L1,private_all_l1,L2,29.391520,76.956760,12.88,real,1,489,ok,
1005,SAIPRASANN MEDICENTRE AND SATYA CLINIC,PANIPAT,Empanelled Private Hospital,Tertiary,L1,private_all_l1,,30.673250,76.850980,39.92,estimated,0,,ok,
1006,SHOBHIT HOSPITAL,PANIPAT,Empanelled Private Hospital,Tertiary,L1,private_all_l1,L2,29.695070,76.997470,35.75,real,1,491,ok,
1007,DR SOMBIR HOSPITAL,PANIPAT,Empanelled Private Hospital,Tertiary,L1,private_all_l1,,29.403980,76.968460,40.96,estimated,0,,ok,
1008,PAHUJA HOSPITAL,PANIPAT,Empanelled Private Hospital,Tertiary,L1,private_all_l1,,29.391080,76.893460,30.78,estimated,0,,ok,
1009,JINDAL NURSING HOME,PANIPAT,Empanelled Private Hospital,Tertiary,L1,private_all_l1,L3,29.403665,76.970898,55.70,real,1,494,ok,
1010,DR HAWA SINGH CHILDREN HOSPITAL,PANIPAT,Empanelled Private Hospital,Tertiary,L1,private_all_l1,L2,28.478360,76.903870,8.43,real,1,495,ok,
1011,DEVI MURTI HOSPITAL,PANIPAT,Empanelled Private Hospital,Tertiary,L1,private_all_l1,L2,30.172805,76.862395,53.15,real,1,521,ok,
1012,SANKALP HOSPITAL,PANIPAT,Empanelled Private Hospital,Tertiary,L1,private_all_l1,L2,28.069374,76.105592,52.00,real,2,520,ok,
1013,ANGEL CARE HOSPITAL,PANIPAT,Empanelled Private Hospital,Tertiary,L1,private_all_l1,L2,30.160249,76.871468,42.67,estimated,0,519,ok,
1014,DR. NARAYAN DATT HOSPITAL,PANIPAT,Empanelled Private Hospital,Tertiary,L1,private_all_l1,L2,30.375200,76.782100,44.45,real,2,518,ok,
1015,AMAN HOSPITAL,PANIPAT,Empanelled Private Hospital,Tertiary,L1,private_all_l1,L2,29.805970,76.396300,11.23,real,1,517,ok,
1016,MAX PLUS HOSPITAL,PANIPAT,Empanelled Private Hospital,Tertiary,L1,private_all_l1,,29.388210,76.997620,25.72,estimated,0,,ok,
1017,SHRI GURU NANAK HOSPITAL,PANIPAT,Empanelled Private Hospital,Tertiary,L1,private_all_l1,L2,30.698860,76.836050,47.22,estimated,0,515,ok,
1018,DR. SUNIL GUPTA HOSPITAL,PANIPAT,Empanelled Private Hospital,Tertiary,L1,private_all_l1,,29.963510,74.706320,35.19,estimated,0,,ok,
1019,DEV EYE CARE,PANIPAT,Empanelled Private Hospital,Tertiary,L1,private_all_l1,,30.756045,76.907181,41.00,estimated,0,497,ok,
1020,AYUSHMAN BHAV HEALTH INSTITUTE,PANIPAT,Empanelled Private Hospital,Tertiary,L1,private_all_l1,,29.394965,76.958473,37.02,estimated,0,,ok,
1021,ANAND HOSPITAL AND NAVDEEP EYE CENTRE,PANIPAT,Empanelled Private Hospital,Tertiary,L1,private_all_l1,,29.398900,76.877000,6.14,estimated,0,,ok,
1022,MALIK HOSPITAL,PANIPAT,Empanelled Private Hospital,Tertiary,L1,private_all_l1,L2,29.395910,76.959450,27.10,real,1,499,ok,
1023,GALAXY HOSPITAL AND TRAUMA CENTRE,PANIPAT,Empanelled Private Hospital,Tertiary,L1,private_all_l1,L2,29.119710,75.719440,54.63,real,1,500,ok,
1024,A.R. MITTAL HOSPITAL,PANIPAT,Empanelled Private Hospital,Tertiary,L1,private_all_l1,L2,29.533089,75.034688,22.25,real,1,501,ok,
1025,NC MEDICAL COLLEGE AND HOSPITAL ISRANA,PANIPAT,Empanelled Private Hospital,Tertiary,L1,private_all_l1,L1,29.365120,75.906190,56.20,real,2,502,ok,
1026,BAJAJ EYE CENTRE,PANIPAT,Empanelled Private Hospital,Tertiary,L1,private_all_l1,,28.192170,76.619330,48.81,estimated,0,503,ok,
1027,MADAAN HOSPITAL,PANIPAT,Empanelled Private Hospital,Tertiary,L1,private_all_l1,L2,29.397530,76.970880,59.29,estimated,0,504,ok,
1028,DISHA CHILDRENS HOSPITAL & DENTAL CARE CENTER,PANIPAT,Empanelled Private Hospital,Tertiary,L1,private_all_l1,L2,29.394230,76.956920,14.68,real,1,505,ok,
1029,SONI BURNS & PLASTIC SURGERY CENTRE,PANIPAT,Empanelled Private Hospital,Tertiary,L1,private_all_l1,L2,29.388190,76.952906,17.35,real,1,506,ok,
1030,MALHOTRA MOTHER AND CHILD HOSPITAL,PANIPAT,Empanelled Private Hospital,Tertiary,L1,private_all_l1,,29.383580,76.958850,20.47,estimated,0,,ok,
1031,MAGNUS HOSPITAL,PANIPAT,Empanelled Private Hospital,Tertiary,L1,private_all_l1,,30.371278,76.784841,32.79,estimated,0,,ok,
1032,DR.RAVINDERA MATERNITY & GENERAL HOSPITAL,PANIPAT,Empanelled Private Hospital,Tertiary,L1,private_all_l1,L2,28.851220,76.666760,53.73,real,1,508,ok,
1033,PARK HOSPITAL A UNIT OF PARK MEDICITY INDIA PVT LTD,PANIPAT,Empanelled Private Hospital,Tertiary,L1,private_all_l1,,28.377510,77.326010,49.82,estimated,0,,ok,
1034,THE KIDNEY HOSPITAL,PANIPAT,Empanelled Private Hospital,Tertiary,L1,private_all_l1,L2,30.137138,77.296144,26.27,estimated,0,509,ok,
1035,DR SUMIT BONE & JOINT CENTER,PANIPAT,Empanelled Private Hospital,Tertiary,L1,private_all_l1,L2,28.795281,76.153651,60.98,estimated,0,510,ok,
1036,DR PRITAM ARORA ENT CARE CENTRE,PANIPAT,Empanelled Private Hospital,Tertiary,L1,private_all_l1,L2,28.881500,76.627600,29.48,real,1,511,ok,
1037,HYDERABADI GENERAL HOSPITAL & NURSING HOME,PANIPAT,Empanelled Private Hospital,Tertiary,L1,private_all_l1,,29.386520,76.972070,18.30,estimated,0,,ok,
1038,D N HOSPITAL,PANIPAT,Empanelled Private Hospital,Tertiary,L1,private_all_l1,,28.798900,76.143300,37.53,estimated,0,,ok,
1039,ARORA NURSING HOME,REWARI,Empanelled Private Hospital,Tertiary,L1,private_all_l1,,30.129130,77.280490,50.91,estimated,0,,ok,
1040,DHIR VISION CENTER KOSLI,REWARI,Empanelled Private Hospital,Tertiary,L1,private_all_l1,,30.367310,76.788400,20.92,estimated,0,,ok,
1041,DR S P YADAV MULTISPECIALITY HOSPITAL,REWARI,Empanelled Private Hospital,Tertiary,L1,private_all_l1,L2,28.984220,77.015110,30.58,real,1,909,ok,
1042,VIRAT HOSPITALS,REWARI,Empanelled Private Hospital,Tertiary,L1,private_all_l1,L2,28.200180,76.610400,54.33,real,1,981,ok,
1043,NETRUM EYE HOSPITAL,REWARI,Empanelled Private Hospital,Tertiary,L1,private_all_l1,,28.420000,77.350000,49.11,estimated,0,,ok,
1044,MEDICARE HOSPITAL,REWARI,Empanelled Private Hospital,Tertiary,L1,private_all_l1,L2,28.600100,76.271100,46.60,real,1,910,ok,
1045,SHRI BALAJI HOSPITAL,REWARI,Empanelled Private Hospital,Tertiary,L1,private_all_l1,,29.531069,75.035264,57.98,estimated,0,,ok,
1046,RITI EYE CARE HOSPITAL,REWARI,Empanelled Private Hospital,Tertiary,L1,private_all_l1,,28.154438,77.330367,13.38,estimated,0,,ok,
1047,CYGNUS SUPERSPECIALITY HOSPITAL,REWARI,Empanelled Private Hospital,Tertiary,L1,private_all_l1,,28.188840,76.614110,46.61,estimated,0,,ok,
1048,EYE Q VISION PVT LTD,REWARI,Empanelled Private Hospital,Tertiary,L1,private_all_l1,L2,29.814690,76.420520,5.14,estimated,0,1001,ok,
1049,DR R B YADAV HOSPITAL,REWARI,Empanelled Private Hospital,Tertiary,L1,private_all_l1,,28.433330,77.059400,29.22,estimated,0,,ok,
1050,YADUVANSHI HOSPITAL,REWARI,Empanelled Private Hospital,Tertiary,L1,private_all_l1,L2,29.968100,76.890200,50.85,real,1,914,ok,
1051,MATRIKA HOSPITAL PVT LTD,REWARI,Empanelled Private Hospital,Tertiary,L1,private_all_l1,,28.189502,76.614254,34.50,estimated,0,,ok,
1052,VEDANTA HOSPITAL,REWARI,Empanelled Private Hospital,Tertiary,L1,private_all_l1,L2,28.471420,77.072857,53.23,real,1,916,ok,
1053,PUSHPANJALI HOSPITAL,REWARI,Empanelled Private Hospital,Tertiary,L1,private_all_l1,L2,29.969500,76.878300,57.05,real,1,917,ok,
1054,CAPT NANDLAL YADAV HOSPITAL,REWARI,Empanelled Private Hospital,Tertiary,L1,private_all_l1,L2,29.162520,75.708120,56.10,real,1,918,ok,
1055,SAVITRI DEVI HOSPITAL,REWARI,Empanelled Private Hospital,Tertiary,L1,private_all_l1,L2,28.800150,76.141340,31.85,real,1,919,ok,
1056,DEEPHOSPITAL,REWARI,Empanelled Private Hospital,Tertiary,L1,private_all_l1,,30.137100,77.275000,49.46,estimated,0,,ok,
1057,R YADAV SURGICAL AND REKHA EYE HOSPITAL,REWARI,Empanelled Private Hospital,Tertiary,L1,private_all_l1,,28.198649,76.609082,42.81,estimated,0,,ok,
1058,DEV JYOTI HOSPITAL,REWARI,Empanelled Private Hospital,Tertiary,L1,private_all_l1,,30.168090,77.296920,55.79,estimated,0,,ok,
1059,MAARS HOSPITAL AND HEART INSTITUTE,REWARI,Empanelled Private Hospital,Tertiary,L1,private_all_l1,,29.388960,76.959990,49.92,estimated,0,,ok,
1060,SIWACH SANJEEVANI HOSPITAL,ROHTAK,Empanelled Private Hospital,Tertiary,L1,private_all_l1,,29.406100,76.661500,48.84,estimated,0,,ok,
1061,SHREE HOSPITAL ROHTAK,ROHTAK,Empanelled Private Hospital,Tertiary,L1,private_all_l1,L2,30.379653,76.783399,29.70,real,1,656,ok,
1062,MEDSTAR MULTI & SUPER SPECIALITY HOSPITAL,ROHTAK,Empanelled Private Hospital,Tertiary,L1,private_all_l1,L2,28.799046,76.133514,46.07,estimated,0,961,ok,
1063,TRIPTI HOSPITAL & UROLOGY CENTRE,ROHTAK,Empanelled Private Hospital,Tertiary,L1,private_all_l1,,28.065796,76.104179,48.67,estimated,0,,ok,
1064,MK SUPER SPECIALITY HOSPITAL PRIVATE LIMITED,ROHTAK,Empanelled Private Hospital,Tertiary,L1,private_all_l1,L2,28.986931,76.156690,58.03,real,1,658,ok,
1065,ADVANTA SUPER SPECIALITY HOSPITAL,ROHTAK,Empanelled Private Hospital,Tertiary,L1,private_all_l1,L2,29.964430,74.710770,49.53,real,1,659,ok,
1066,EYE Q VISION PVT LTD,ROHTAK,Empanelled Private Hospital,Tertiary,L1,private_all_l1,,29.395070,76.959130,55.87,estimated,0,,ok,
1067,SHIVAM LIVER GASTRO SUPER SPECIALITY HOSPITAL,ROHTAK,Empanelled Private Hospital,Tertiary,L1,private_all_l1,,29.398100,76.965700,29.67,estimated,0,,ok,
1068,NOBLE HEART AND SUPER SPECIALTY HOSPITAL,ROHTAK,Empanelled Private Hospital,Tertiary,L1,private_all_l1,L2,29.137450,75.738560,52.85,real,1,661,ok,
1069,OSCARSUPER SPECIALITY HOSPITAL & TRAUMA CENTER,ROHTAK,Empanelled Private Hospital,Tertiary,L1,private_all_l1,L2,28.185060,77.280240,51.05,real,1,662,ok,
1070,ARS HOLY HEART ADVANCED CARDIAC CARE & RESEARCH CENTRE,ROHTAK,Empanelled Private Hospital,Tertiary,L1,private_all_l1,L1,28.864320,76.592120,49.55,real,1,663,ok,
1071,RATHI EYE HOSPITAL,ROHTAK,Empanelled Private Hospital,Tertiary,L1,private_all_l1,,28.880750,76.626770,35.52,estimated,0,,ok,
1072,ONYX STONES HOSPITAL,ROHTAK,Empanelled Private Hospital,Tertiary,L1,private_all_l1,,28.910940,76.588280,16.81,estimated,0,,ok,
1073,TIRUPATI MULTISPECIALITY HOSPITAL,ROHTAK,Empanelled Private Hospital,Tertiary,L1,private_all_l1,,28.897180,76.609380,29.94,estimated,0,,ok,
1074,OXYGEN HOSPITAL,ROHTAK,Empanelled Private Hospital,Tertiary,L1,private_all_l1,,28.198890,76.624160,43.56,estimated,0,,ok,
