recid,hospid,hosp_level,statecode,state,districtcode,district,overall_prep_score
636,868,L2,13,Haryana,006,Gurugram,43.38
1198,880,L2,13,Haryana,001,Ambala,51.65
1201,1029,L3,02,Andhra Pradesh ,123,Guntur,6.53
373,491,L2,13,Haryana,017,Panipat,35.75
484,100,L2,13,Haryana,006,Gurugram,54.78
1135,67,L3,13,Haryana,006,Gurugram,2.68
408,192,L3,13,Haryana,022,Yamuna Nagar,12.25
1068,369,L3,13,Haryana,012,Kurukshetra,8.53
1085,780,L3,13,Haryana,005,Fatehabad,12.9
535,705,L1,13,Haryana,004,Faridabad,61.25
366,509,L2,13,Haryana,017,Panipat,0
418,542,L3,13,Haryana,020,Sirsa,25.18
940,502,L1,13,Haryana,017,Panipat,56.2
932,907,L3,13,Haryana,018,Rewari,0.55
496,715,L3,13,Haryana,004,Faridabad,29.43
788,465,L3,13,Haryana,017,Panipat,31.78
1092,779,L3,13,Haryana,005,Fatehabad,15.2
815,210,L3,13,Haryana,008,Jhajjar,7.4
922,744,L2,13,Haryana,001,Ambala,23.78
680,323,L2,13,Haryana,011,Karnal,51.83
1165,479,L2,13,Haryana,017,Panipat,51.3
1036,894,L3,13,Haryana,012,Kurukshetra,0
599,592,L2,13,Haryana,022,Yamuna Nagar,53.13
917,439,L3,13,Haryana,016,Panchkula,37.78
625,590,L2,13,Haryana,022,Yamuna Nagar,47.13
1056,910,L2,13,Haryana,018,Rewari,46.6
661,814,L2,13,Haryana,020,Sirsa,43.13
765,532,L3,13,Haryana,018,Rewari,13.4
1044,919,L2,13,Haryana,018,Rewari,31.85
524,697,L2,13,Haryana,004,Faridabad,56.38
1361,236,L3,13,Haryana,009,Jind,2.18
754,629,L3,13,Haryana,018,Rewari,19.68
956,777,L3,13,Haryana,005,Fatehabad,23
933,834,L2,13,Haryana,020,Sirsa,36.03
461,570,L3,13,Haryana,020,Sirsa,25.48
1095,792,L3,13,Haryana,005,Fatehabad,4.98
1303,1296,L3,32,West Bengal,194,Purba mednipur,7.3
1231,1091,L3,29,Tamil Nadu,033,Kallakurichi,16.03
866,53,L2,13,Haryana,002,Bhiwani,42.33
778,24,L1,13,Haryana,001,Ambala,60.63
527,714,L2,13,Haryana,004,Faridabad,38.68
961,139,L3,13,Haryana,007,Hisar,5.68
712,874,L2,13,Haryana,010,Kaithal,43.13
404,197,L3,13,Haryana,022,Yamuna Nagar,19.78
1360,256,L3,13,Haryana,009,Jind,34.5
1010,485,L2,13,Haryana,017,Panipat,43.98
571,728,L3,13,Haryana,010,Kaithal,16.3
388,350,L3,13,Haryana,011,Karnal,22.6
763,531,L3,13,Haryana,018,Rewari,18.2
1257,1041,L3,19,Maharashtra,154,Satara,22.88
1177,880,L2,13,Haryana,001,Ambala,70.68
1277,1213,L3,13,Haryana,015,Palwal,10.85
477,541,L3,13,Haryana,020,Sirsa,32.38
969,111,L3,13,Haryana,007,Hisar,21.83
843,124,L3,13,Haryana,007,Hisar,9.28
789,890,L2,13,Haryana,012,Kurukshetra,0
532,686,L3,13,Haryana,004,Faridabad,25
350,462,L3,13,Haryana,017,Panipat,24.95
434,190,L3,13,Haryana,022,Yamuna Nagar,15.55
720,879,L3,13,Haryana,010,Kaithal,12.6
743,19,L3,13,Haryana,001,Ambala,12.38
896,925,L2,13,Haryana,001,Ambala,0
1375,880,L2,13,Haryana,001,Ambala,47.08
1316,1303,L3,32,West Bengal,194,Purba mednipur,36.03
450,193,L3,13,Haryana,022,Yamuna Nagar,8.63
849,741,L2,13,Haryana,010,Kaithal,32.18
705,623,L3,13,Haryana,018,Rewari,13.98
813,301,L3,13,Haryana,011,Karnal,16.83
1106,999,L3,13,Haryana,005,Fatehabad,48.45
1136,94,L3,13,Haryana,006,Gurugram,14.85
446,183,L3,13,Haryana,022,Yamuna Nagar,13.15
1210,1066,L3,29,Tamil Nadu,033,Kallakurichi,22.75
867,53,L2,13,Haryana,002,Bhiwani,42.33
1038,120,L3,13,Haryana,007,Hisar,8.13
1346,226,L3,13,Haryana,009,Jind,18.85
1410,1207,L3,19,Maharashtra,155,Kolhapur,25.8
1268,1219,L3,13,Haryana,015,Palwal,5.85
786,568,L3,13,Haryana,020,Sirsa,14.5
681,303,L3,13,Haryana,011,Karnal,21.8
602,666,L2,13,Haryana,019,Rohtak,49.88
1098,39,L2,13,Haryana,002,Bhiwani,4.85
547,842,L3,13,Haryana,020,Sirsa,25.13
1394,252,L3,13,Haryana,009,Jind,11.75
668,282,L3,13,Haryana,011,Karnal,24.85
685,315,L2,13,Haryana,011,Karnal,1.4
622,502,L1,13,Haryana,017,Panipat,56.2
1041,123,L3,13,Haryana,007,Hisar,5.35
1007,781,L3,13,Haryana,005,Fatehabad,11.85
635,869,L2,13,Haryana,006,Gurugram,39.95
593,436,L3,13,Haryana,014,Nuh,12.68
746,1,L3,13,Haryana,001,Ambala,16.13
364,767,L2,13,Haryana,017,Panipat,43.98
1270,1216,L3,13,Haryana,015,Palwal,1.68
858,112,L3,13,Haryana,007,Hisar,21.3
339,520,L2,13,Haryana,017,Panipat,52
1172,458,L3,13,Haryana,017,Panipat,12.25
306,164,L2,13,Haryana,007,Hisar,55.13
1082,801,L1,13,Haryana,005,Fatehabad,49.03
733,364,L3,13,Haryana,012,Kurukshetra,16.4
691,878,L2,13,Haryana,006,Gurugram,0
882,50,L2,13,Haryana,002,Bhiwani,33.25
1031,965,L2,13,Haryana,002,Bhiwani,15.4
703,630,L3,13,Haryana,018,Rewari,22.5
819,618,L3,13,Haryana,011,Karnal,11.53
757,298,L3,13,Haryana,011,Karnal,15.73
1287,1214,L3,13,Haryana,015,Palwal,0
1186,880,L2,13,Haryana,001,Ambala,50.65
1262,1052,L3,19,Maharashtra,154,Satara,23.08
1065,947,L3,13,Haryana,002,Bhiwani,17.4
923,812,L2,13,Haryana,020,Sirsa,32.48
1053,992,L1,13,Haryana,007,Hisar,47.25
1195,880,L2,13,Haryana,001,Ambala,50.65
1399,880,L2,13,Haryana,001,Ambala,47.2
719,830,L2,13,Haryana,020,Sirsa,47.05
586,432,L3,13,Haryana,014,Nuh,17.63
965,958,L3,13,Haryana,002,Bhiwani,7.38
401,686,L3,13,Haryana,004,Faridabad,25
1168,880,L2,13,Haryana,001,Ambala,70.68
690,737,L2,13,Haryana,010,Kaithal,41.7
516,806,L2,13,Haryana,004,Faridabad,48.2
1046,128,L3,13,Haryana,007,Hisar,14.13
889,365,L3,13,Haryana,012,Kurukshetra,20.4
958,940,L3,13,Haryana,002,Bhiwani,16.9
379,345,L2,13,Haryana,011,Karnal,45
1149,65,L3,13,Haryana,006,Gurugram,22.23
716,625,L3,13,Haryana,018,Rewari,7.58
572,608,L2,13,Haryana,022,Yamuna Nagar,43.13
1406,1364,L2,19,Maharashtra,159,Nanded,25.05
1083,803,L2,13,Haryana,005,Fatehabad,56.08
517,735,L2,13,Haryana,010,Kaithal,40.58
1148,70,L3,13,Haryana,006,Gurugram,0
320,357,L2,13,Haryana,012,Kurukshetra,0
994,858,L3,13,Haryana,004,Faridabad,4.98
772,775,L3,13,Haryana,005,Fatehabad,21.35
777,18,L3,13,Haryana,001,Ambala,14.25
1366,880,L2,13,Haryana,001,Ambala,46.65
951,950,L3,13,Haryana,002,Bhiwani,13.5
480,544,L3,13,Haryana,020,Sirsa,5.45
469,687,L3,13,Haryana,004,Faridabad,24.58
554,594,L2,13,Haryana,022,Yamuna Nagar,40.15
687,348,L2,13,Haryana,011,Karnal,58.28
837,163,L3,13,Haryana,007,Hisar,31.85
921,931,L2,13,Haryana,001,Ambala,25.43
796,550,L3,13,Haryana,020,Sirsa,11.98
1218,1088,L3,29,Tamil Nadu,033,Kallakurichi,14.05
492,91,L2,13,Haryana,006,Gurugram,44.33
1259,1204,L3,13,Haryana,015,Palwal,5.95
1029,969,L3,13,Haryana,002,Bhiwani,17.63
1028,968,L3,13,Haryana,002,Bhiwani,10.78
829,151,L2,13,Haryana,007,Hisar,56.88
790,805,L3,13,Haryana,005,Fatehabad,22.3
422,463,L3,13,13,017,017,4.98
1354,231,L3,13,Haryana,009,Jind,7.68
604,825,L2,13,Haryana,020,Sirsa,30.35
898,827,L2,13,Haryana,020,Sirsa,40.5
1356,250,L3,13,Haryana,009,Jind,10
816,212,L3,13,Haryana,008,Jhajjar,11.15
1395,880,L2,13,Haryana,001,Ambala,47.2
1086,783,L3,13,Haryana,005,Fatehabad,15.2
526,272,L3,13,Haryana,010,Kaithal,19.2
684,326,L2,13,Haryana,011,Karnal,55.65
876,53,L2,13,Haryana,002,Bhiwani,32.33
637,611,L2,13,Haryana,022,Yamuna Nagar,32.48
1335,1314,L3,32,West Bengal,194,Purba mednipur,18.03
543,656,L2,13,Haryana,019,Rohtak,29.7
514,712,L2,13,Haryana,004,Faridabad,28.88
949,934,L3,13,Haryana,002,Bhiwani,10.2
785,880,L2,13,Haryana,001,Ambala,54.58
1297,880,L2,13,Haryana,001,Ambala,55.8
448,693,L3,13,Haryana,004,Faridabad,22.48
1373,265,L2,13,Haryana,009,Jind,35.55
1130,96,L3,13,Haryana,006,Gurugram,50.35
