recid,hospid,hosp_level,statecode,state,districtcode,district,overall_prep_score
1349,242,L3,13,Haryana,009,Jind,10.45
545,584,NA,13,Haryana,022,Yamuna Nagar,NULL
550,477,L3,13,Haryana,017,Panipat,0
768,880,L2,13,Haryana,001,Ambala,47.33
826,211,L3,13,Haryana,008,Jhajjar,13.05
583,429,L3,13,Haryana,014,Nuh,2.63
1299,1298,L3,29,Tamil Nadu,036,Karur,12.83
1242,1072,L3,29,Tamil Nadu,033,Kallakurichi,1.08
403,520,L2,13,Haryana,017,Panipat,52
1216,1061,L3,29,Tamil Nadu,033,Kallakurichi,17.93
1222,1067,L3,29,Tamil Nadu,033,Kallakurichi,14.28
1159,1014,L2,13,Haryana,007,Hisar,0
293,182,L2,13,Haryana,022,Yamuna Nagar,28.93
328,458,L3,13,Haryana,017,Panipat,12.25
805,197,L3,13,Haryana,022,Yamuna Nagar,19.78
1369,880,L2,13,Haryana,001,Ambala,47.08
595,432,L3,13,Haryana,014,Nuh,17.63
1317,1307,L3,32,West Bengal,194,Purba mednipur,10.13
1110,789,L3,13,Haryana,005,Fatehabad,11.23
1131,1004,L3,13,Haryana,016,Panchkula,19.63
386,489,L2,13,Haryana,017,Panipat,12.88
1001,853,L3,13,Haryana,004,Faridabad,0
670,840,L2,13,Haryana,020,Sirsa,40.73
501,75,L2,13,Haryana,006,Gurugram,54.95
649,829,L2,13,Haryana,020,Sirsa,54.7
482,476,L3,13,Haryana,017,Panipat,8.73
1069,900,L3,13,Haryana,008,Jhajjar,3.7
987,863,L2,13,Haryana,004,Faridabad,0
1072,667,L2,13,Haryana,019,Rohtak,0
1266,1038,L3,19,Maharashtra,154,Satara,2.35
1397,288,L2,13,Haryana,011,Karnal,54.8
1363,244,L3,13,Haryana,009,Jind,5.1
974,986,L3,13,Haryana,002,Bhiwani,15.98
1115,988,L3,13,Haryana,005,Fatehabad,12.68
1143,94,L3,13,Haryana,006,Gurugram,14.85
792,880,L2,13,Haryana,001,Ambala,70.68
888,53,L2,13,Haryana,002,Bhiwani,29.15
1122,94,L3,13,Haryana,006,Gurugram,15.43
605,836,L2,13,Haryana,020,Sirsa,51.83
1,880,L2,13,Haryana,001,Ambala,0
871,116,L3,13,Haryana,007,Hisar,6.18
325,141,L2,13,Haryana,007,Hisar,52.85
1331,1322,L3,32,West Bengal,194,Purba mednipur,23.28
1132,94,L3,13,Haryana,006,Gurugram,15.43
