"accident_id_sp","year","latitude_sp","longitude_sp","severity","state_name","district_name","station_name","state_code","district_code","station_code"
"202513234750048","2025","29.334753313086","76.984745219875","Grievous Injury","HARYANA","PANIPAT","Industrial Sector 29","13","234","75"
"202513223240053","2025","28.811024411895","76.104998588562","Fatal","HARYANA","BHIWANI","SADAR THANA BHIWANI","13","223","24"
"202313237760017","2023","28.774889199004","76.760361121424","Fatal","HARYANA","ROHTAK","SAMPLA","13","237","76"
"202413227810020","2024","28.316814534042","76.719861110741","Fatal","HARYANA","GURUGRAM","PATAUDI","13","227","81"
"202513238650003","2025","29.524979342114","75.005887546422","Grievous Injury","HARYANA","SIRSA","SIRSA CITY                                        ","13","238","65"
"202513239850014","2025","28.985503334525","77.151590066585","Fatal","HARYANA","SONIPAT","BAHALGARH","13","239","85"
"202513260830092","2025","28.185322164978","77.349944226444","Fatal","HARYANA","PALWAL","GADPURI","13","260","83"
"202513232710005","2025","30.127035642547","76.869316999256","Fatal","HARYANA","KURUKSHETRA","SHAHABAD","13","232","71"
"202513232710057","2025","30.210062178887","76.871737882084","Minor Injury Hospitalized","HARYANA","KURUKSHETRA","SHAHABAD","13","232","71"
"202513230030022","2025","29.423946051546","76.431139111519","Grievous Injury","HARYANA","JIND","ALEWA","13","230","03"
"202513239850027","2025","28.990986975818","77.082127332687","Fatal","HARYANA","SONIPAT","BAHALGARH","13","239","85"
"202413227810013","2024","28.31883224684","76.799433231354","Fatal","HARYANA","GURUGRAM","PATAUDI","13","227","81"
"202513258680037","2025","27.919468494999","76.980332136154","Minor Injury Hospitalized","HARYANA","N U H","NAGINA","13","258","68"
"202413231510007","2024","29.674207006559","77.001469823451","No Injury","HARYANA","KARNAL","KARNAL CITY","13","231","51"
"202413227650023","2024","28.358171911763","76.939027457938","Grievous Injury","HARYANA","GURUGRAM","MANESAR","13","227","65"
"202513225900022","2025","28.486562441595","77.289462089539","Grievous Injury","HARYANA","FARIDABAD","Suraj Kund","13","225","90"
"202313221140009","2023","30.382740366303","76.793846388432","Fatal","HARYANA","AMBALA","BALDEV NAGAR","13","221","14"
"202513227850005","2025","28.419905141443","76.934096217155","No Injury","HARYANA","GURUGRAM","SECTOR-10","13","227","85"
"202513228120015","2025","29.86759991665","76.612209200812","Grievous Injury","HARYANA","KAITHAL","DANDH","13","228","12"
"202513234120008","2025","29.376847979904","76.984570291222","Grievous Injury","HARYANA","PANIPAT","CHANDNIBAGH","13","234","12"
"202413227810004","2024","28.3014013","76.7125476","Grievous Injury","HARYANA","GURUGRAM","PATAUDI","13","227","81"
"202313238550006","2023","29.75410284474","74.793595366668","Grievous Injury","HARYANA","Dabwali","ODHAN","13","265","55"
"202313237650008","2023","29.013139253762","76.665255814769","Minor Injury Hospitalized","HARYANA","ROHTAK","ROTHAK SADAR","13","237","65"
"202313238550007","2023","29.855374731475","74.835541248322","Fatal","HARYANA","Dabwali","ODHAN","13","265","55"
"202313257100013","2023","28.5449547","76.6681624","Minor Injury Hospitalized","HARYANA","JHAJJAR","JHAJJAR","13","257","10"
"202513231530009","2025","29.701928318177","76.992131741934","Minor Injury Hospitalized","HARYANA","KARNAL","KARNAL CIVIL LINES","13","231","53"
"202413225350010","2024","28.423009484647","77.311606407166","Grievous Injury","HARYANA","FARIDABAD","OLD  FARIDABAD","13","225","35"
"202413225080003","2024","28.415427673425","77.389733791351","Fatal","HARYANA","FARIDABAD","BHUPANI","13","225","08"
"202413257300043","2024","28.648592891399","76.794141303628","Fatal","HARYANA","JHAJJAR","BADLI","13","257","30"
"202413239850046","2024","28.993426909115","77.081725001335","Fatal","HARYANA","SONIPAT","BAHALGARH","13","239","85"
"202413229060026","2024","29.014281296617","75.608258843422","Minor Injury Hospitalized","HARYANA","HISAR","AZAD NGR HISAR","13","229","06"
"202513239840049","2025","29.080597925412","77.058062553078","Grievous Injury","HARYANA","SONIPAT","HSIDC BARHI","13","239","84"
"202413234750041","2024","29.331704292146","76.985555490846","Fatal","HARYANA","PANIPAT","Industrial Sector 29","13","234","75"
"202413234710061","2024","29.249543898065","77.009245908589","Minor Injury Hospitalized","HARYANA","PANIPAT","SAMALKHA","13","234","71"
"202413223820016","2024","28.768258332463","76.083218888061","Grievous Injury","HARYANA","BHIWANI","JUI KALAN PS BHWANI","13","223","82"
"202513228270021","2025","29.878846048058","76.409887969494","Grievous Injury","HARYANA","KAITHAL","KAITHAL SADAR","13","228","27"
"202513238530034","2025","29.342837833178","74.988912587131","Fatal","HARYANA","SIRSA","NATHU SARAI CHOPTA","13","238","53"
"202413227870018","2024","28.447053265795","77.060616016388","Grievous Injury","HARYANA","GURUGRAM","SECTOR-40","13","227","87"
"2025132271050058","2025","28.262002816016","77.067380979073","Minor Injury Hospitalized","HARYANA","GURUGRAM","CITY SOHANA","13","227","105"
"202513239350023","2025","29.167212771749","76.677981913144","Grievous Injury","HARYANA","SONIPAT","GOHANA CITY","13","239","35"
